n_experiment,pattern,length,n_rows,n_cols,rank,condnumber,sparsity,isdiag,issymmetric,ishermitian,isposdef,istriu,istril,algorithm,cast_time,calc_time,error
1,gravity,65536,256,256,46,7.531369980549001e18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.00036275,1.0269194557671901e-17
1,gravity,65536,256,256,46,7.531369980549001e18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,umfpack,5.1583e-5,0.001744458,7.066850116999081e-18
1,gravity,65536,256,256,46,7.531369980549001e18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,0.003448,5.147177987281517e-18
1,grcar,256,16,16,16,3.1112656825001848,0.71484375,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.417e-6,5.0069028390921864e-17
1,grcar,256,16,16,16,3.1112656825001848,0.71484375,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,2.666e-6,3.975e-5,2.362244187471271e-17
1,grcar,256,16,16,16,3.1112656825001848,0.71484375,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,1.5583e-5,1.7900422235113105e-17
1,grcar,256,16,16,16,3.1112656825001848,0.71484375,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.0,0.00017525,3.413750898430521e-17
1,grcar,65536,256,256,256,3.621452294223987,0.9805755615234375,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.000356334,1.1116684568488124e-17
1,grcar,65536,256,256,256,3.621452294223987,0.9805755615234375,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,4.3167e-5,0.00015125,9.582685827627293e-18
1,grcar,65536,256,256,256,3.621452294223987,0.9805755615234375,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,4.8375e-5,9.601764639148402e-18
1,grcar,65536,256,256,256,3.621452294223987,0.9805755615234375,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.0,9.6625e-5,1.1263375307312487e-17
1,hadamard,256,16,16,16,1.0000000000000004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,5.25e-6,5.19696508390818e-17
1,hadamard,256,16,16,16,1.0000000000000004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,umfpack,3.167e-6,4.7166e-5,4.269801775131847e-17
1,hadamard,256,16,16,16,1.0000000000000004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,1.7916e-5,5.884164540355297e-17
